user_id,item_id,timestamp,duration_normed,watch_ratio_normed
103,206,1775825601,184.00,0.0029
103,141,1775825601,154.00,7.2868
103,54,1775827026,33.00,43.1718
103,206,1775827026,184.00,0.0043
103,225,1775827030,124.00,0.0367
103,378,1775827042,59.00,0.1986
103,46,1775827109,191.00,0.3477
103,441,1775827123,30.00,0.4733
103,383,1775827125,15.00,0.1487
103,269,1775827127,80.00,0.0223
103,131,1775827147,68.00,0.2931
103,139,1775827149,161.00,0.0114
103,434,1775827192,24.00,1.8267
103,44,1775827204,51.00,0.2365
103,165,1775827222,144.00,0.1217
103,105,1775827242,77.00,0.2627
103,433,1775827243,86.00,0.0157
103,4,1775827244,162.00,0.0043
103,284,1775827309,187.00,0.3421
103,336,1775827309,70.00,0.0094
103,72,1775827310,146.00,0.0068
103,336,1775827313,70.00,0.0360
103,72,1775827325,146.00,0.0859
103,278,1775827334,190.00,0.0456
103,143,1775827357,199.00,0.1161
103,259,1775827373,59.00,0.2819
103,30,1775827375,139.00,0.0129
103,419,1775827378,123.00,0.0220
103,355,1775827379,104.00,0.0127
103,279,1775827389,102.00,0.0972
103,371,1775827392,77.00,0.0425
103,260,1775830659,99.00,0.4181
103,64,1775830684,177.00,0.1478
103,251,1775830703,133.00,0.1347
103,350,1775830707,16.00,0.2675
103,164,1775830730,94.00,0.2510
103,36,1775830746,21.00,0.7138
103,368,1775830750,103.00,0.0351
103,124,1775830769,122.00,0.1618
103,238,1775830771,140.00,0.0051
103,51,1775830780,100.00,0.0990
103,5,1775830781,50.00,0.0136
103,315,1775830843,28.00,2.2029
103,91,1775830843,196.00,0.0035
103,195,1775830916,37.00,0.1035
103,12,1775830929,25.00,0.5328
103,378,1775830935,59.00,0.0907
103,291,1775830953,82.00,0.2159
103,300,1775830972,104.00,0.1768
103,441,1775830990,30.00,0.5930
103,426,1775831015,105.00,0.2425
103,62,1775831068,20.00,2.6455
103,347,1775831069,187.00,0.0039
103,103,1775831144,60.00,1.2468
103,207,1775831145,184.00,0.0041
103,184,1775831955,62.00,13.0556
103,149,1775831958,57.00,0.0689
103,376,1775831960,99.00,0.0248
103,120,1775831962,46.00,0.0250
103,7,1775831966,35.00,0.1169
103,97,1775832173,60.00,0.4347
103,369,1775832173,67.00,0.0127
103,332,1775832175,133.00,0.0065
103,110,1775832175,34.00,0.0188
103,281,1775832179,196.00,0.0219
